country,input,slope,se,n,region
HUN,ST297Q01JA,-0.3911479190195452,0.02560131768525618,5696,OECD (other)
HUN,ST297Q03JA,-0.5035503856834078,0.03505971527911591,5696,OECD (other)
HUN,ST297Q05JA,-0.4895085360585238,0.03862043271693423,5696,OECD (other)
HUN,ST297Q06JA,-0.5275790695757445,0.040718689140135766,5696,OECD (other)
HUN,ST297Q07JA,-0.5750550995750361,0.040892835491431925,5696,OECD (other)
IDN,hwk_h,0.03338886479969905,0.003773755942364802,12785,Non-OECD
IDN,study_h,0.027895511755942272,0.001452697949518454,13100,Non-OECD
IDN,EXERPRAC,-0.010121296632623678,0.001404299648238883,13090,Non-OECD
IDN,ST297Q01JA,-0.3863597450456788,0.01153837444238577,13116,Non-OECD
IDN,ST297Q03JA,-0.24246271583620138,0.010933185729007477,13116,Non-OECD
IDN,ST297Q05JA,-0.14769458831669782,0.010709485103711794,13116,Non-OECD
IDN,ST297Q06JA,-0.25247807474108525,0.010604922898201878,13116,Non-OECD
IDN,ST297Q07JA,-0.40818484440097125,0.011594529948434388,13116,Non-OECD
IRL,hwk_h,-0.014354861009458379,0.013097703923768895,5376,OECD (other)
IRL,study_h,-0.0051453280519998005,0.0032274862160797655,5488,OECD (other)
IRL,EXERPRAC,-0.04316771084747502,0.0031996643274833252,5488,OECD (other)
IRL,ST297Q01JA,-0.3718196948020869,0.028402604499521446,5424,OECD (other)
IRL,ST297Q03JA,-0.25769495884810817,0.03468421788803133,5424,OECD (other)
IRL,ST297Q05JA,-0.16344113505618468,0.03671903331995872,5424,OECD (other)
IRL,ST297Q06JA,-0.4254432528460159,0.0363161840077713,5424,OECD (other)
IRL,ST297Q07JA,-0.36083815578376255,0.043317882303823,5424,OECD (other)
ISL,hwk_h,-0.05882872660824336,0.016671378532793456,2911,Nordic
ISL,study_h,-0.024243969744353885,0.005525009821679051,3097,Nordic
ISL,EXERPRAC,-0.027248591405093565,0.0044694413510587595,3096,Nordic
ISL,ST297Q01JA,-0.40990139506800666,0.045795923977613284,2982,Nordic
ISL,ST297Q03JA,-0.17853036434289393,0.04742165061846197,2982,Nordic
ISL,ST297Q05JA,-0.049518414843582624,0.04523844953846989,2982,Nordic
ISL,ST297Q06JA,-0.26643527884769413,0.049132992993613796,2982,Nordic
ISL,ST297Q07JA,-0.14068809104371152,0.05189828616175914,2982,Nordic
ISR,hwk_h,0.027246733998021005,0.00991872403658411,5601,OECD (other)
ISR,study_h,-0.01127972227775184,0.003788998282196429,5811,OECD (other)
